Spline,Model,AIC,BIC,"RMSE, in-sample","RMSE, nowcast","RMSE, inflection","RMSE, fixed test","Rho, in-sample","Rho, nowcast","Rho, inflection","Rho, fixed test","Coverage, in-sample","Coverage, nowcast","Coverage, inflection","Coverage, fixed test","AUC, in-sample","AUC, nowcast","AUC, inflection","AUC, fixed test"
None,Mean (no variant era),-4151,-4136,0.034,0.0349,0.0434,0.0332,0.499,0.438,0.34,0.458,0.953,0.956,0.906,0.958,0.743,0.701,0.66,0.695
None,Mean + variant era,-4175,-4145,0.0335,0.0374,0.0471,0.0482,0.509,0.336,0.237,0.458,0.949,0.93,0.871,0.842,0.752,0.667,0.636,0.695
None,Mean * variant era,-4230,-4185,0.0326,0.0383,0.0507,0.0486,0.519,0.395,0.161,0.458,0.958,0.934,0.847,0.852,0.763,0.694,0.602,0.5
None,Mean + st.dev. (no variant era),-4159,-4139,0.0338,0.0354,0.0442,0.0334,0.512,0.43,0.346,0.473,0.95,0.953,0.9,0.951,0.75,0.696,0.651,0.704
None,Mean + st.dev. + variant era,-4186,-4151,0.0333,0.0379,0.0479,0.0478,0.524,0.324,0.249,0.474,0.95,0.927,0.871,0.845,0.763,0.666,0.647,0.705
None,(Mean + st.dev.) * variant era,-4256,-4191,0.032,0.0396,0.0525,0.051,0.541,0.368,0.102,0.197,0.956,0.923,0.824,0.875,0.78,0.686,0.605,0.5
None,Mean + skew (no variant era),-4149,-4129,0.034,0.0351,0.0434,0.0334,0.497,0.426,0.339,0.45,0.955,0.955,0.9,0.955,0.743,0.695,0.66,0.696
None,Mean + skew + variant era,-4174,-4139,0.0335,0.0376,0.0472,0.0479,0.509,0.326,0.235,0.451,0.951,0.93,0.865,0.859,0.752,0.66,0.638,0.694
None,(Mean + skew) * variant era,-4227,-4162,0.0325,0.0395,0.0519,0.0485,0.521,0.367,0.129,0.458,0.954,0.937,0.859,0.873,0.764,0.683,0.604,0.5
None,Mean + s.d. + skew (no variant era),-4157,-4132,0.0338,0.0358,0.0446,0.0334,0.512,0.417,0.336,0.471,0.95,0.953,0.9,0.951,0.751,0.689,0.654,0.704
None,Mean + s.d. + skew + variant era,-4184,-4144,0.0333,0.0383,0.0482,0.0478,0.524,0.313,0.246,0.474,0.949,0.928,0.871,0.845,0.763,0.659,0.646,0.706
None,(Mean + s.d. + skew) * variant era,-4255,-4170,0.0319,0.0412,0.0534,0.0761,0.546,0.34,0.111,0.136,0.961,0.926,0.829,0.786,0.783,0.677,0.604,0.5
Cubic,Mean (no variant era),-4229,-4188,0.0326,0.0356,0.0466,0.0326,0.5,0.419,0.292,0.458,0.954,0.946,0.888,0.958,0.755,0.715,0.668,0.687
Cubic,Mean + variant era,-4258,-4202,0.0321,0.0413,0.062,0.0452,0.537,0.362,0.176,0.458,0.953,0.925,0.847,0.854,0.78,0.705,0.635,0.5
Cubic,Mean * variant era,-4296,-4200,0.0313,0.553,1.24,0.0423,0.564,0.418,0.116,0.345,0.957,0.922,0.859,0.911,0.796,0.707,0.612,0.696
Cubic,Mean + st.dev. (no variant era),-4238,-4187,0.0324,0.036,0.0476,0.0328,0.513,0.418,0.313,0.469,0.954,0.945,0.888,0.953,0.763,0.709,0.662,0.7
Cubic,Mean + st.dev. + variant era,-4272,-4208,0.0318,0.0414,0.0619,0.0445,0.551,0.364,0.191,0.473,0.951,0.926,0.853,0.868,0.789,0.703,0.64,0.5
Cubic,(Mean + st.dev.) * variant era,-4344,-4218,0.0304,0.552,1.23,0.0566,0.581,0.404,0.189,0.118,0.956,0.892,0.788,0.748,0.811,0.691,0.649,0.57
Cubic,Mean + skew (no variant era),-4232,-4175,0.0325,0.0366,0.0479,0.0326,0.502,0.399,0.271,0.463,0.952,0.944,0.9,0.965,0.755,0.706,0.664,0.687
Cubic,Mean + skew + variant era,-4261,-4190,0.0319,0.042,0.0627,0.0454,0.54,0.351,0.163,0.465,0.952,0.92,0.847,0.854,0.78,0.698,0.633,0.5
Cubic,(Mean + skew) * variant era,-4339,-4179,0.0303,0.554,1.24,0.0473,0.592,0.353,0.119,0.26,0.96,0.898,0.835,0.856,0.8,0.682,0.602,0.685
Cubic,Mean + s.d. + skew (no variant era),-4240,-4182,0.0323,0.0371,0.0491,0.0328,0.517,0.401,0.292,0.469,0.954,0.943,0.9,0.955,0.762,0.705,0.67,0.699
Cubic,Mean + s.d. + skew + variant era,-4274,-4197,0.0317,0.0422,0.0629,0.0446,0.553,0.356,0.177,0.475,0.952,0.921,0.847,0.861,0.789,0.697,0.638,0.5
Cubic,(Mean + s.d. + skew) * variant era,-4379,-4206,0.0296,0.0545,0.0926,0.0701,0.601,0.374,0.305,0.11,0.958,0.892,0.841,0.668,0.814,0.672,0.649,0.57
